name,lat,lon
Mutithi - SSC,-0.723584,37.321866
Mitunguu - SSC,-0.1094876,37.7744194
Thika - SSC,-1.0400512,37.0720959
Nakuru - SSC,0.284282,36.091739
Eldoret - SSC,0.51448,35.280478
Machakos - SSC,-1.519401,37.26921
Kitale - SSC,0.9988027,35.0101792
Kisumu - SSC,-0.114838,34.759395
Busia - SSC,-0.459729,34.111958
Emali - SSC,-2.077881,37.473745
Malindi - SSC,-3.2169386,40.1145282
Webuye - SSC,0.60593,34.770759
Meru - SSC,0.1545604,37.908383
Siaya - SSC,0.059996,34.285763
Kakamega - SSC,-1.2713876,36.7737815
Ukunda - SSC,-3.2169118,40.1068033
Homabay - SSC,0.5376,34.456
Kitui - SSC,-1.36729,38.01047
Kapsabet - SSC,0.201724,35.0899454
Bungoma - SSC,0.5647066,34.559836
Nyeri - SSC,-0.4202886,36.9389978
Migori - SSC,-1.0584115,34.4726788
Makindu - SSC,-2.2809927,37.8208098
Taveta - SSC,-2.3267047,36.3622239
Chuka - SSC,-0.3310455,37.6445827
Kimana - SSC,-1.2888556,33.3153727
Bomet  - SSC,-0.77453435,35.3207077
Iten - SSC,0.666858,35.50568
Kericho - SSC,-0.3696875,35.2622131
